year,no_of_fatal_accidents,no_of_persons_killed,no_of_persons_seriously_injured_in_fatal_acc,no_of_serious_accidents,no_of_persons_seriously_injured,yoy_change,yoy_change_fatal,3yr_rolling_fatal,death_per_fatal,total_accidents,total_person_affected,yoy_total_accidents,person_affect_per_accident
1997,143,165,22,677,703,,,,1.15,820,890,,1.09
1998,128,146,18,523,542,-10.48951048951049,-10.5,,1.14,651,706,-20.6,1.08
1999,127,138,21,595,629,-0.78125,-0.8,132.7,1.09,722,788,10.9,1.09
2000,117,144,28,661,679,-7.874015748031493,-7.9,124.0,1.23,778,851,7.8,1.09
2001,105,141,14,667,706,-10.256410256410254,-10.3,116.3,1.34,772,861,-0.8,1.12
2002,81,97,15,629,650,-22.857142857142854,-22.9,101.0,1.2,710,762,-8.0,1.07
2003,83,113,12,563,578,2.4691358024691468,2.5,89.7,1.36,646,703,-9.0,1.09
2004,87,96,14,962,977,4.819277108433728,4.8,83.7,1.1,1049,1087,62.4,1.04
2005,96,117,19,1106,1119,10.344827586206895,10.3,88.7,1.22,1202,1255,14.6,1.04
2006,78,137,15,861,876,-18.75,-18.8,87.0,1.76,939,1028,-21.9,1.09
2007,76,78,11,923,940,-2.564102564102566,-2.6,83.3,1.03,999,1029,6.4,1.03
2008,80,93,16,686,693,5.263157894736836,5.3,78.0,1.16,766,802,-23.3,1.05
2009,83,93,14,636,646,3.750000000000009,3.8,79.7,1.12,719,753,-6.1,1.05
2010,97,118,23,480,488,16.867469879518083,16.9,86.7,1.22,577,629,-19.7,1.09
2011,65,67,10,533,546,-32.98969072164949,-33.0,81.7,1.03,598,623,3.6,1.04
2012,79,83,6,536,542,21.53846153846153,21.5,80.3,1.05,615,631,2.8,1.03
2013,77,82,11,456,457,-2.5316455696202556,-2.5,73.7,1.06,533,550,-13.3,1.03
2014,59,62,3,379,391,-23.376623376623375,-23.4,71.7,1.05,438,456,-17.8,1.04
2015,54,55,9,302,307,-8.47457627118644,-8.5,63.3,1.02,356,371,-18.7,1.04
2016,67,94,7,269,272,24.07407407407407,24.1,60.0,1.4,336,373,-5.6,1.11
2017,56,61,0,266,272,-16.417910447761198,-16.4,59.0,1.09,322,333,-4.2,1.03
2018,49,62,11,265,268,-12.5,-12.5,57.3,1.27,314,341,-2.5,1.09
2019,51,56,6,193,198,4.081632653061229,4.1,52.0,1.1,244,260,-22.3,1.07
2020,48,53,18,117,120,-5.882352941176472,-5.9,49.3,1.1,165,191,-32.4,1.16
2021,43,51,2,186,191,-10.416666666666663,-10.4,47.3,1.19,229,244,38.8,1.07
2022,24,28,3,181,187,-44.18604651162791,-44.2,38.3,1.17,205,218,-10.5,1.06
