cause,accidents,persons
ABOVE GROUND,91,99
BELOW GROUND,175,205
Electricity,29,29
Explosives,12,15
Fall of Object,19,19
Fall of Roof,52,74
Fall of Sides,35,41
Fall of person,40,40
Flying Pieces,0,0
"Gas, Dust & Other Combustible Material",10,13
Irruption of Water,4,6
Miscellaneous,31,32
OPENCAST,262,300
Other Ground Movement,6,32
Other Transp. Machinery,15,15
Other falls,2,2
Rope Haulage,23,23
TOTAL (All Causes),528,604
Transportation Machinery - Other than Winding,89,94
Transportation Machinery - Winding in Shaft,3,3
Wheeled Trackless Transp,158,166
