year,no_of_fatal_accidents,no_of_persons_killed,no_of_persons_seriously_injured_in_fatal_acc,no_of_serious_accidents,no_of_persons_seriously_injured
1997,143,165,22,677,703
1998,128,146,18,523,542
1999,127,138,21,595,629
2000,117,144,28,661,679
2001,105,141,14,667,706
2002,81,97,15,629,650
2003,83,113,12,563,578
2004,87,96,14,962,977
2005,96,117,19,1106,1119
2006,78,137,15,861,876
2007,76,78,11,923,940
2008,80,93,16,686,693
2009,83,93,14,636,646
2010,97,118,23,480,488
2011,65,67,10,533,546
2012,79,83,6,536,542
2013,77,82,11,456,457
2014,59,62,3,379,391
2015,54,55,9,302,307
2016,67,94,7,269,272
2017,56,61,0,266,272
2018,49,62,11,265,268
2019,51,56,6,193,198
2020,48,53,18,117,120
2021,43,51,2,186,191
2022,24,28,3,181,187
